Date,Total electricity supply,Total electricity demand
2019-04-09,1747.936,1590.506
2019-04-10,1767.391,1607.273
2019-04-11,1740.094,1593.999
2019-04-12,1673.097,1583.137
2019-04-15,1762.893,1550.549
2019-04-16,1801.872,1590.475
2019-04-17,1779.412,1592.068
2019-04-18,1741.169,1537.64
2019-04-23,1700.989,1521.051
2019-04-24,1569.582,1575.425
2019-04-25,1510.518,1541.665
2019-04-26,1416.786,1533.558
2019-04-29,1508.818,1535.579
2019-04-30,1514.442,1542.75
2019-05-02,1601.043,1543.999
2019-05-03,1607.349,1572.681
2019-05-06,1633.61,1584.785
2019-05-07,1582.077,1601.268
2019-05-08,1639.375,1607.411
2019-05-09,1567.749,1561.377
2019-05-13,1577.803,1560.123
2019-05-14,1542.273,1564.361
2019-05-15,1546.746,1558.483
2019-05-16,1542.734,1596.132
2019-05-17,1497.214,1563.048
2019-05-20,1442.409,1501.862
2019-05-21,1550.806,1582.596
2019-05-22,1589.978,1580.313
2019-05-23,1447.717,1552.663
2019-05-24,1445.319,1537.089
2019-05-27,1452.83,1518.858
2019-05-28,1343.08,1543.9
2019-05-29,1360.097,1501.653
2019-05-30,1397.186,1297.977
2019-05-31,1282.008,1342.817
2019-06-03,1473.883,1526.005
2019-06-05,1505.968,1572.951
2019-06-06,1465.381,1555.031
2019-06-11,1321.298,1443.688
2019-06-12,1432.68,1531.358
2019-06-13,1465.823,1491.087
2019-06-14,1435.651,1478.938
2019-06-17,1420.537,1515.065
2019-06-18,1494.472,1553.884
2019-06-19,1510.815,1548.649
2019-06-20,1342.007,1358.916
2019-06-21,1316.766,1406.525
2019-06-24,1550.112,1525.348
2019-06-25,1544.534,1580.655
2019-06-26,1577.605,1601.19
2019-06-27,1570.305,1577.428
2019-06-28,1410.556,1518.725
2019-07-01,1527.703,1556.267
2019-07-02,1569.929,1576.038
2019-07-03,1501.687,1544.288
2019-07-05,1481.021,1511.36
2019-07-08,1408.995,1446.52
2019-07-10,1503.247,1497.661
2019-07-11,1412.49,1488.8
2019-07-15,1423.346,1444.618
2019-07-16,1540.65,1489.956
2019-07-17,1401.416,1440.002
2019-07-18,1447.162,1478.488
2019-07-19,1408.436,1458.013
2019-07-22,1430.02,1448.134
2019-07-23,1501.147,1481.219
2019-07-24,1575.356,1510.783
2019-07-25,1601.44,1567.355
2019-07-26,1672.155,1543.519
2019-07-29,1346.541,1445.613
2019-07-30,1400.185,1501.661
2019-07-31,1414.584,1513.995
2019-08-01,1414.544,1458.69
2019-08-02,1387.805,1449.701
2019-08-05,1355.052,1414.266
2019-08-07,1435.06,1470.676
2019-08-08,1479.762,1437.208
2019-08-13,1392.891,1456.405
2019-08-14,1337.457,1431.165
2019-08-15,1377.658,1431.598
2019-08-16,1336.205,1381.366
2019-08-19,1392.704,1423.605
2019-08-20,1333.594,1429.578
2019-08-21,1365.789,1423.956
2019-08-22,1401.09,1421.916
2019-08-23,1373.989,1402.346
2019-08-26,1435.258,1451.871
2019-08-27,1541.088,1538.294
2019-08-28,1510.773,1548.42
2019-08-29,1514.556,1542.087
2019-08-30,1482.162,1498.04
2019-09-04,1538.506,1509.011
2019-09-05,1568.05,1522.877
2019-09-09,1353.838,1475.553
2019-09-10,1493.051,1483.622
2019-09-12,1504.805,1536.736
2019-09-13,1519.683,1540.693
2019-09-16,1447.752,1502.567
2019-09-17,1664.029,1556.317
2019-09-18,1680.38,1552.632
2019-09-19,1584.293,1497.082
2019-09-20,1496.904,1484.1
2019-09-23,1476.269,1493.284
2019-09-24,1506.721,1529.016
2019-09-25,1534.106,1533.591
2019-09-26,1563.831,1540.463
2019-09-27,1568.385,1508.525
2019-09-30,1726.261,1542.035
2019-10-01,1558.703,1543.525
2019-10-04,1456.808,1377.673
2019-10-07,1608.584,1512.245
2019-10-09,1735.561,1556.389
2019-10-10,1758.119,1563.285
2019-10-14,1662.412,1521.46
2019-10-15,1616.448,1565.782
2019-10-16,1706.859,1582.637
2019-10-17,1691.992,1570.127
2019-10-18,1732.501,1569.18
2019-10-21,1578.466,1524.322
2019-10-22,1638.021,1578.421
2019-10-23,1610.381,1575.074
2019-10-24,1604.111,1568.08
2019-10-25,1694.444,1565.554
2019-10-28,1704.952,1563.419
2019-10-29,1670.239,1578.045
2019-10-30,1650.836,1596.589
2019-10-31,1648.733,1513.425
2019-11-01,1504.728,1361.468
2019-11-04,1545.706,1567.442
2019-11-06,1610.606,1601.791
2019-11-07,1737.987,1618.098
2019-11-11,1781.119,1646.074
2019-11-12,1864.811,1683.676
2019-11-13,1820.799,1658.5
2019-11-14,1864.721,1641.923
2019-11-15,1829.313,1640.675
2019-11-18,1807.753,1642.619
2019-11-19,1849.21,1679.249
2019-11-20,1636.203,1621.418
2019-11-21,1687.165,1655.46
2019-11-22,1727.124,1645.619
2019-11-25,1602.932,1628.504
2019-11-26,1762.574,1665.896
2019-11-27,1839.554,1668.844
2019-11-28,1960.714,1676.877
2019-11-29,1866.456,1675.009
2019-12-02,1836.457,1670.404
2019-12-03,1841.415,1715.568
2019-12-04,1853.951,1712.136
2019-12-06,1924.753,1704.873
2019-12-09,1812.512,1645.754
2019-12-11,1859.794,1718.355
2019-12-12,1804.626,1686.375
2019-12-13,1816.191,1669.795
2019-12-16,1772.411,1605.173
2019-12-17,1842.459,1616.136
2019-12-18,1743.54,1611.277
2019-12-19,1694.123,1570.071
2019-12-20,1637.879,1490.449
2019-12-23,1504.433,1338.516
2019-12-27,1225.175,1289.558
2019-12-30,1628.169,1369.921
2020-01-06,1594.747,1506.006
2020-01-07,1774.626,1644.616
2020-01-09,1748.362,1637.055
2020-01-10,1814.064,1638.432
2020-01-13,1702.93,1636.54
2020-01-14,1939.474,1742.26
2020-01-15,1897.937,1717.071
2020-01-16,1726.293,1664.145
2020-01-17,1810.178,1681.315
2020-01-20,1746.614,1651.383
2020-01-21,1928.12,1742.44
2020-01-22,1861.244,1724.321
2020-01-23,1784.366,1711.429
2020-01-24,1864.754,1718.218
2020-01-27,1804.011,1676.517
2020-01-28,1834.111,1706.097
2020-01-29,1887.655,1732.561
2020-01-30,1861.924,1682.539
2020-01-31,1822.712,1657.619
2020-02-03,1677.481,1648.687
2020-02-04,1785.889,1716.098
2020-02-06,1845.547,1757.998
2020-02-07,1724.092,1694.325
2020-02-10,1881.828,1686.012
2020-02-11,1963.857,1755.13
2020-02-12,1930.573,1780.312
2020-02-13,1752.264,1728.325
2020-02-14,1556.293,1635.061
2020-02-17,1790.356,1677.789
2020-02-18,1897.836,1763.535
2020-02-19,1830.377,1707.242
2020-02-20,1760.985,1680.156
2020-02-21,1850.029,1703.29
2020-02-24,1638.65,1589.86
2020-02-25,1874.462,1701.615
2020-02-26,1655.391,1633.466
2020-02-27,1650.93,1668.249
2020-02-28,1827.073,1695.462
2020-03-02,1624.746,1615.715
2020-03-03,1740.935,1671.688
2020-03-04,1738.389,1662.191
2020-03-06,1736.14,1670.453
2020-03-09,1582.593,1601.899
2020-03-11,1761.104,1687.759
2020-03-12,1896.444,1707.98
2020-03-13,1831.748,1681.591
2020-03-16,1554.268,1568.467
2020-03-17,1595.627,1623.824
2020-03-18,1645.344,1620.451
2020-03-19,1421.586,1530.59
2020-03-20,1427.748,1503.295
2020-03-23,1579.957,1527.005
2020-03-24,1596.464,1546.074
2020-03-25,1622.559,1533.187
2020-03-26,1589.181,1504.336
2020-03-27,1541.154,1438.611
2020-03-30,1440.212,1474.878
2020-03-31,1372.627,1482.425
2020-04-02,1539.248,1480.49
2020-04-03,1452.574,1459.611
2020-04-06,1405.936,1384.416
2020-04-08,1307.651,1376.611
2020-04-09,1300.426,1363.054
2020-04-14,1282.813,1345.628
2020-04-15,1324.269,1400.447
2020-04-16,1232.112,1395.356
2020-04-17,1193.16,1359.512
2020-04-20,1584.743,1380.791
2020-04-22,1537.711,1411.118
2020-04-23,1268.384,1404.614
2020-04-24,1329.843,1407.376
2020-04-27,1236.766,1387.315
2020-04-28,1247.841,1394.095
2020-04-29,1269.808,1406.986
2020-04-30,1346.106,1386.313
2020-05-05,1322.309,1421.754
2020-05-06,1361.921,1420.516
2020-05-08,1223.156,1361.374
2020-05-11,1413.129,1461.117
2020-05-13,1270.65,1416.292
2020-05-14,1295.538,1429.146
2020-05-15,1316.499,1408.423
2020-05-18,1322.096,1393.429
2020-05-19,1277.635,1406.571
2020-05-20,1164.272,1351.856
2020-05-21,1063.639,1153.182
2020-05-22,1169.193,1249.575
2020-05-25,1361.649,1392.815
2020-05-26,1245.002,1393.584
2020-05-27,1271.704,1412.358
2020-05-28,1340.649,1406.963
2020-05-29,1215.592,1328.953
2020-06-01,1266.544,1118.419
2020-06-02,1293.22,1358.821
2020-06-03,1359.733,1418.754
2020-06-04,1305.88,1444.93
2020-06-05,1415.639,1403.487
2020-06-08,1219.109,1330.421
2020-06-10,1329.238,1384.61
2020-06-11,1256.552,1219.953
2020-06-15,1323.105,1369.09
2020-06-16,1299.119,1395.568
2020-06-17,1402.297,1436.275
2020-06-18,1432.124,1434.432
2020-06-19,1325.048,1363.837
2020-06-22,1314.576,1368.363
2020-06-23,1365.639,1408.066
2020-06-24,1448.443,1421.824
2020-06-25,1518.864,1443.086
2020-06-26,1460.014,1411.514
2020-06-29,1384.388,1377.673
2020-06-30,1556.762,1495.641
2020-07-01,1456.433,1424.772
2020-07-02,1346.717,1405.002
2020-07-07,1429.731,1450.216
2020-07-08,1308.207,1418.177
2020-07-09,1361.732,1451.578
2020-07-10,1469.587,1421.278
2020-07-13,1289.246,1372.751
2020-07-14,1326.184,1427.525
2020-07-15,1248.545,1422.241
2020-07-16,1249.655,1409.187
2020-07-17,1296.141,1374.761
