Date,DBc1,DPc1,DEBMc1,DEPMc1,DEBQc1,DEPQc1,DEBYc1,DEPYc1
2019-04-09,41.99,43.85,39.1,42.09,46.33,52.62,47.42,60.13
2019-04-10,44.74,46.01,39.67,42.27,48.21,54.14,46.47,61.96
2019-04-11,44.9,46.23,38.77,41.42,47.4,53.24,46.3,61.13
2019-04-12,41.42,40.77,38.89,41.46,47.29,53.35,44.4,61.22
2019-04-15,41.83,41.16,38.65,40.41,46.75,52.26,50.53,61.29
2019-04-16,40.81,41.76,38.57,40.12,45.98,51.68,49.86,60.73
2019-04-17,40.84,40.27,38.98,40.31,46.8,52.59,50.63,61.06
2019-04-18,33.84,30.32,39.29,40.42,46.18,51.62,50.28,60.8
2019-04-23,14.75,15.25,36.39,36.72,45.59,51.34,50.44,61.03
2019-04-24,39.31,40.03,36.84,37.24,45.35,50.75,49.95,60.5
2019-04-25,43.54,46.2,37.17,37.59,45.46,51.07,50.09,60.65
2019-04-26,31.99,32.54,37.12,37.73,44.95,50.52,49.21,59.66
2019-04-29,43.15,45.18,36.96,37.39,44.75,50.37,49.36,59.61
2019-04-30,25.47,18.69,38.35,41.82,44.38,50.0,49.33,59.35
2019-05-02,37.94,39.43,37.9,40.57,43.4,49.03,48.19,58.18
2019-05-03,39.51,39.57,38.26,41.18,43.31,49.0,48.38,58.27
2019-05-06,44.29,45.19,38.11,41.28,43.57,49.34,47.06,58.54
2019-05-07,39.47,40.14,39.12,42.11,44.0,49.87,48.97,59.35
2019-05-08,45.25,49.58,40.38,43.44,44.5,50.28,50.75,59.6
2019-05-09,44.79,44.98,39.98,43.07,44.78,50.55,47.14,59.8
2019-05-13,39.23,38.95,38.94,41.81,43.34,49.25,48.71,58.65
2019-05-14,40.85,41.53,38.91,41.65,42.65,48.65,48.24,58.19
2019-05-15,39.73,41.65,38.61,41.47,42.68,48.58,48.82,58.74
2019-05-16,42.95,44.98,39.09,41.99,42.7,48.37,49.06,58.93
2019-05-17,37.19,36.38,38.4,41.52,41.3,47.43,48.0,58.03
2019-05-20,46.29,51.45,38.41,41.53,40.83,46.68,47.89,57.81
2019-05-21,40.09,42.05,38.44,41.61,40.75,46.54,47.65,57.55
2019-05-22,40.67,40.38,38.08,40.97,41.7,47.59,48.75,58.36
2019-05-23,40.46,40.18,38.08,40.64,41.01,46.68,48.22,57.73
2019-05-24,36.68,35.14,38.09,40.65,40.9,46.62,48.15,57.6
2019-05-27,35.35,39.82,37.87,40.83,41.1,46.6,48.4,57.76
2019-05-28,41.76,44.91,37.96,41.02,40.99,46.61,48.34,57.65
2019-05-29,16.09,9.95,37.85,40.94,41.15,46.7,48.41,57.75
2019-05-30,35.81,36.05,37.84,40.9,40.59,46.27,47.9,57.33
2019-05-31,29.96,27.99,35.36,39.99,39.59,44.97,46.91,56.33
2019-06-03,36.9,40.09,33.48,38.94,38.72,44.34,47.76,55.72
2019-06-05,36.48,36.98,34.54,39.91,39.59,44.68,48.5,56.46
2019-06-06,37.61,36.46,33.95,39.82,38.98,44.28,46.8,56.27
2019-06-11,44.0,46.83,33.94,42.06,39.91,45.0,46.52,56.95
2019-06-12,38.51,36.59,33.42,41.44,39.02,44.2,43.93,56.23
2019-06-13,41.62,44.68,33.55,41.91,39.33,44.66,47.45,56.64
2019-06-14,30.58,29.18,33.29,41.29,38.91,44.29,47.17,56.5
2019-06-17,41.66,42.3,33.01,40.71,38.79,43.96,47.25,56.66
2019-06-18,41.2,43.25,33.29,41.22,38.71,43.86,47.3,56.59
2019-06-19,36.39,36.77,33.32,41.13,38.21,43.52,46.6,55.95
2019-06-20,38.69,38.62,33.17,41.18,37.79,43.05,46.52,56.01
2019-06-21,31.63,31.61,33.16,41.08,38.25,43.23,47.15,56.41
2019-06-24,34.47,36.38,32.72,40.52,39.13,43.91,48.65,57.9
2019-06-25,38.56,39.07,32.54,40.4,38.32,43.55,48.69,58.1
2019-06-26,33.26,34.92,32.27,40.45,38.4,43.56,49.09,58.54
2019-06-27,43.45,43.95,32.48,40.63,47.42,57.93,49.1,58.42
2019-06-28,34.0,35.0,32.34,41.77,46.93,57.32,48.8,58.07
2019-07-01,32.96,33.1,35.51,40.36,47.29,57.79,47.5,58.57
2019-07-02,34.66,34.63,36.62,41.37,47.38,57.84,48.7,58.4
2019-07-03,33.98,33.26,36.14,40.62,46.36,56.67,47.68,57.52
2019-07-05,29.76,28.52,36.82,41.1,47.4,57.11,49.2,58.3
2019-07-08,35.69,37.26,38.34,41.75,48.85,58.54,49.89,59.38
2019-07-10,45.91,50.51,38.83,42.14,49.6,59.63,46.35,59.8
2019-07-11,45.24,47.41,39.65,42.92,50.64,60.62,46.11,60.94
2019-07-15,41.56,42.86,41.7,44.73,52.59,62.88,52.75,62.47
2019-07-16,45.88,47.19,40.83,43.9,50.93,61.23,51.69,61.31
2019-07-17,43.93,44.59,41.07,43.92,50.36,60.88,51.35,61.07
2019-07-18,44.81,45.9,40.03,43.12,49.82,60.28,51.12,60.86
2019-07-19,35.09,33.28,40.03,43.41,50.81,61.16,52.25,61.8
2019-07-22,42.62,43.49,39.89,43.15,51.09,61.75,52.31,61.88
2019-07-23,50.64,53.87,39.83,43.45,51.57,62.08,53.12,62.28
2019-07-24,50.23,53.53,39.59,43.47,51.06,61.65,52.43,61.68
2019-07-25,44.5,46.87,39.84,43.49,50.82,61.39,52.24,61.64
2019-07-26,36.16,36.11,39.64,43.41,49.5,59.92,51.37,60.65
2019-07-29,45.5,49.16,39.48,43.28,49.0,59.34,51.5,60.66
2019-07-30,48.47,50.31,39.69,43.57,48.18,58.41,50.64,59.8
2019-07-31,44.66,44.56,39.62,43.63,48.21,58.5,50.9,59.93
2019-08-01,43.7,44.81,40.32,43.5,48.88,58.86,48.2,61.15
2019-08-02,36.37,35.13,40.15,43.7,49.41,59.43,47.47,61.15
2019-08-05,46.28,49.8,37.93,42.05,47.8,57.98,49.63,59.88
2019-08-07,34.72,33.62,35.6,41.37,46.66,56.65,50.07,59.22
2019-08-08,38.69,40.06,35.75,41.31,47.14,57.08,50.11,59.32
2019-08-13,38.77,38.83,36.62,41.84,46.04,56.01,49.1,58.36
2019-08-14,30.5,31.33,36.62,41.73,45.43,55.51,48.61,57.89
2019-08-15,35.69,37.64,36.63,41.62,45.0,54.93,48.3,57.62
2019-08-16,26.22,27.3,36.7,41.81,44.73,54.93,48.14,57.45
2019-08-19,34.43,33.46,36.17,40.43,44.75,54.66,48.44,57.6
2019-08-20,41.68,41.85,36.61,40.9,44.73,54.87,48.44,57.61
2019-08-21,36.31,36.51,36.6,40.81,44.5,54.11,48.01,57.28
2019-08-22,37.32,37.77,36.53,40.61,44.32,54.06,47.99,57.35
2019-08-23,32.29,31.51,36.37,40.76,43.3,53.13,46.95,56.3
2019-08-26,45.66,48.06,36.77,41.72,43.47,53.39,47.34,56.6
2019-08-27,50.83,55.32,36.98,42.0,42.91,52.58,46.58,55.69
2019-08-28,44.49,47.37,36.91,42.01,43.22,52.84,47.15,56.26
2019-08-29,41.34,41.58,36.9,41.87,43.51,53.03,47.28,56.29
2019-08-30,31.42,31.0,36.85,43.7,45.7,55.07,48.29,57.24
2019-09-04,31.72,32.21,35.86,40.56,44.34,53.26,49.06,56.12
2019-09-05,32.45,33.63,35.78,40.38,44.13,53.4,49.61,55.99
2019-09-09,45.51,49.85,36.88,40.7,44.25,53.18,47.6,56.29
2019-09-10,33.93,34.23,37.35,41.04,47.51,56.56,46.51,58.39
2019-09-12,39.02,42.14,36.94,40.57,48.14,58.08,43.45,58.98
2019-09-13,36.2,35.78,36.96,40.56,48.35,58.15,50.14,59.23
2019-09-16,47.15,53.06,37.92,42.13,49.31,59.13,51.38,60.37
2019-09-17,36.48,36.34,37.4,41.85,48.35,58.33,50.63,59.98
2019-09-18,43.78,46.63,36.6,40.95,46.22,55.75,49.32,58.27
2019-09-19,42.7,44.71,36.76,40.99,46.59,56.04,49.8,58.78
2019-09-20,34.65,34.9,36.88,41.3,46.38,55.91,50.35,59.39
2019-09-23,44.13,51.8,36.62,42.22,45.33,54.91,49.41,58.5
2019-09-24,46.74,52.81,35.97,41.9,45.12,54.82,49.13,58.24
2019-09-25,41.57,46.83,35.5,41.44,44.0,54.04,48.14,57.28
2019-09-26,38.44,42.6,35.32,41.48,44.24,54.22,48.29,57.5
2019-09-27,24.1,23.4,35.82,41.74,49.54,60.69,47.76,56.75
2019-09-30,22.1,30.23,35.75,41.6,49.48,60.48,47.91,56.93
2019-10-01,40.86,43.82,41.4,48.32,49.27,60.1,47.62,56.62
2019-10-04,36.89,40.36,40.33,48.6,48.17,59.02,50.98,55.35
2019-10-07,44.63,52.71,39.15,45.76,47.95,58.68,50.4,55.41
2019-10-09,30.46,33.2,37.7,44.92,48.27,58.99,49.55,55.55
2019-10-10,25.97,29.64,37.59,44.79,48.49,59.17,46.64,55.67
2019-10-14,35.56,47.07,37.79,45.79,49.65,60.1,47.8,56.84
2019-10-15,39.46,43.68,38.46,46.75,50.08,60.58,48.1,57.09
2019-10-16,43.77,51.24,38.7,46.52,50.5,60.92,48.72,57.54
2019-10-17,35.35,37.67,38.05,46.24,49.9,60.33,48.08,57.0
2019-10-18,33.09,36.82,38.06,46.19,50.0,60.5,48.24,57.06
2019-10-21,43.72,51.36,37.68,45.99,50.29,60.93,48.51,57.42
2019-10-22,43.52,49.98,37.22,45.87,49.25,59.94,47.45,56.45
2019-10-23,38.61,44.09,37.26,45.58,48.54,58.85,46.99,55.8
2019-10-24,36.11,41.78,37.35,45.67,48.25,58.85,47.05,56.0
2019-10-25,20.21,21.2,37.15,46.09,47.8,58.76,46.66,55.82
2019-10-28,42.44,49.72,36.95,46.03,46.99,57.74,46.37,55.31
2019-10-29,48.02,54.45,36.95,46.06,47.32,57.95,46.64,55.57
2019-10-30,42.63,46.53,36.94,46.02,47.52,58.05,46.6,55.37
2019-10-31,32.27,34.59,41.65,52.41,47.06,57.61,46.26,55.08
2019-11-01,27.48,30.12,42.64,53.03,47.39,57.97,48.35,55.24
2019-11-04,38.7,46.4,41.79,51.5,47.13,57.45,50.32,55.0
2019-11-06,42.72,47.45,41.87,51.94,47.15,57.63,47.53,55.23
2019-11-07,47.12,55.14,41.34,51.12,46.55,56.9,51.49,54.93
2019-11-11,41.11,46.29,43.7,52.76,46.13,56.56,45.94,54.78
2019-11-12,47.08,55.22,42.77,52.49,45.35,55.74,42.95,53.95
2019-11-13,45.32,51.1,42.02,51.64,45.7,55.88,45.26,53.85
2019-11-14,45.32,51.1,41.86,50.91,45.7,55.78,45.05,53.67
2019-11-15,37.9,41.94,41.5,50.83,45.79,55.81,45.24,53.84
2019-11-18,41.36,49.68,40.88,50.4,45.0,55.27,44.83,53.44
2019-11-19,46.49,56.21,40.95,50.42,44.77,55.08,44.81,53.46
2019-11-20,53.25,62.41,40.48,49.77,44.98,54.94,44.96,53.63
2019-11-21,50.09,58.18,40.47,49.87,45.39,55.49,45.35,54.09
2019-11-22,43.58,48.88,40.79,50.52,46.49,56.33,46.19,54.76
2019-11-25,51.12,58.77,40.81,50.19,46.36,56.43,46.17,54.95
2019-11-26,47.36,53.62,40.88,50.0,45.5,55.67,45.41,54.31
2019-11-27,39.5,44.33,40.88,50.12,46.39,56.38,46.11,54.76
2019-11-28,30.49,38.17,40.98,50.31,46.37,56.63,45.93,54.71
2019-11-29,40.08,47.56,41.0,47.91,46.14,56.31,45.49,54.29
2019-12-02,46.18,50.57,36.46,45.5,44.86,55.08,46.17,53.52
2019-12-03,51.36,59.22,36.31,45.33,44.34,54.62,48.05,53.08
2019-12-04,47.94,54.68,34.97,44.03,44.41,54.65,50.49,53.23
2019-12-06,31.1,37.83,32.91,42.16,43.64,53.85,46.85,52.58
2019-12-09,23.37,39.71,30.59,41.39,42.77,52.87,49.67,52.14
2019-12-11,38.12,50.5,30.38,41.88,42.37,52.47,45.15,51.6
2019-12-12,44.62,50.46,30.0,41.6,42.5,52.26,42.98,51.62
